Absorber,Thickness,Defect,Donor_density,PCE,,,
CsPbI3,0.1,1000000000000,10000000000,5.89812174,,,
CsPbI3,0.1,1000000000000,100000000000,5.89812159,,,
CsPbI3,0.1,1000000000000,1000000000000,5.89812018,,,
CsPbI3,0.1,1000000000000,10000000000000,5.89810601,,,
CsPbI3,0.1,1000000000000,100000000000000,5.89796424,,,
CsPbI3,0.1,1000000000000,1E15,5.89653962,,,
CsPbI3,0.1,10000000000000,10000000000,5.89715518,,,
CsPbI3,0.1,10000000000000,100000000000,5.89715504,,,
CsPbI3,0.1,10000000000000,1000000000000,5.8971536,,,
CsPbI3,0.1,10000000000000,10000000000000,5.89713918,,,
CsPbI3,0.1,10000000000000,100000000000000,5.89699497,,,
CsPbI3,0.1,10000000000000,1E15,5.89554518,,,
CsPbI3,0.1,100000000000000,10000000000,5.88767553,,,
CsPbI3,0.1,100000000000000,100000000000,5.88767537,,,
CsPbI3,0.1,100000000000000,1000000000000,5.88767369,,,
CsPbI3,0.1,100000000000000,10000000000000,5.88765695,,,
CsPbI3,0.1,100000000000000,100000000000000,5.88748934,,,
CsPbI3,0.1,100000000000000,1E15,5.885799,,,
CsPbI3,0.1,1E15,10000000000,5.80650392,,,
CsPbI3,0.1,1E15,100000000000,5.80650358,,,
CsPbI3,0.1,1E15,1000000000000,5.80650025,,,
CsPbI3,0.1,1E15,10000000000000,5.80646689,,,
CsPbI3,0.1,1E15,100000000000000,5.8061328,,,
CsPbI3,0.1,1E15,1E15,5.8027361,,,
CsPbI3,0.1,1E16,10000000000,5.45826408,,,
CsPbI3,0.1,1E16,100000000000,5.45826343,,,
CsPbI3,0.1,1E16,1000000000000,5.45825699,,,
CsPbI3,0.1,1E16,10000000000000,5.4581925,,,
CsPbI3,0.1,1E16,100000000000000,5.45754625,,,
CsPbI3,0.1,1E16,1E15,5.45094346,,,
CsPbI3,0.2,1000000000000,10000000000,8.71477187,,,
CsPbI3,0.2,1000000000000,100000000000,8.71477178,,,
CsPbI3,0.2,1000000000000,1000000000000,8.71477083,,,
CsPbI3,0.2,1000000000000,10000000000000,8.71476134,,,
CsPbI3,0.2,1000000000000,100000000000000,8.71466617,,,
CsPbI3,0.2,1000000000000,1E15,8.71373395,,,
CsPbI3,0.2,10000000000000,10000000000,8.70805498,,,
CsPbI3,0.2,10000000000000,100000000000,8.70805483,,,
CsPbI3,0.2,10000000000000,1000000000000,8.70805332,,,
CsPbI3,0.2,10000000000000,10000000000000,8.70803822,,,
CsPbI3,0.2,10000000000000,100000000000000,8.7078865,,,
CsPbI3,0.2,10000000000000,1E15,8.70634293,,,
CsPbI3,0.2,100000000000000,10000000000,8.64304585,,,
CsPbI3,0.2,100000000000000,100000000000,8.64304521,,,
CsPbI3,0.2,100000000000000,1000000000000,8.6430388,,,
CsPbI3,0.2,100000000000000,10000000000000,8.64297466,,,
CsPbI3,0.2,100000000000000,100000000000000,8.6423289,,,
CsPbI3,0.2,100000000000000,1E15,8.63546788,,,
CsPbI3,0.2,1E15,10000000000,8.25894383,,,
